name,quadrant,ring,icon,description
OpsGenie,Incident Response,Invest,lock,"<p><a href=""https://www.atlassian.com/software/opsgenie"">OpsGenie</a> is a modern incident management platform that ensures critical incidents are never missed, and actions are taken by the right people in the shortest possible time. Opsgenie receives alerts from your monitoring systems and custom applications and categorizes each alert based on importance and timing.</p>
<h3>Pros</h3>
<ul>
<li>Integrates well with Atlassian toolsuite</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
Squadcast,Incident Response,Hold,none,"<p><a href=""https://www.squadcast.com"">Squadcast</a> unites on-call alerting and incident management along with Site Reliability Engineering (SRE) workflows under one hood and, in turn, automates human tasks efficiently.</p>
<h3>Pros</h3>
<ul>
<li>User friendly incident management platform</li>
<li>Designed for SREs</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
PagerDuty,Incident Response,Hold,none,"<p><a href=""https://www.pagerduty.com"">PagerDuty</a> aims to automate, orchestrate, and accelerate responses across your digital infrastructure.</p>
<h3>Pros</h3>
<ul>
<li>Has incident response, runbook automation, on-call management tools, as well as AI oriented event intelligence and automation actions.</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Splunk On-Call,Incident Response,Hold,none,"<p><a href=""https://www.splunk.com"">Splunk On-Call</a> helps developers, devops and operations teams make on-call suck less while reducing mean time to acknowledge and restore outages. Teams receive context-rich notifications and collaborate cross-functionally to empower fast, efficient incident resolution with reduced downtime. Stakeholders can gain visibility to critical incidents and steps taken to resolve incidents.</p>
<h3>Pros</h3>
<ul>
<li>Get metadata-rich notifications direct to any device. Act, resolve, reroute, even snooze alerts right from the native iOS and Android apps.</li>
<li>Automate time-sensitive actions, including escalations, war room and post incident reviews. Keep your teams focused on incident resolution.</li>
<li>Manage alert noise and improve incident analysis. Easy-to-access reports on incident frequency, MTTA/MTTR and post-incident reviews enable fast resolution, reduce burnout and inspire innovation.</li>
<li>Automate all the essentials including scheduling and escalation policies. From rotations to overrides, Splunk On-Call makes things easier.</li>
<li>Identify the person with the right experience and expertise to work on any incident. Plus, streamline on-call schedules and escalations.</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
AlertOps,Incident Response,Hold,none,"<p><a href=""https://www.alertops.com"">AlertOps</a> empowers the enterprise by taking the guesswork out of critical incident management with industry-leading response automation and incident alert management technology that delivers faster responsiveness, reduced downtime, improved operational efficiency and a better customer experience.</p>
<h3>Pros</h3>
<ul>
<li>Go beyond managing incidents. Become an automation powerhouse.</li>
<li>Enable IT Ops innovation.</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Blameless,Incident Response,Hold,none,"<p><a href=""https://www.blameless.com"">Blameless</a> was founded to help teams adopt reliability practices with ease, and advance to a resilient culture.</p>
<p>Our rich platform provides context, guardrails, and automation across key workflows. Efficiencies start with incident management and teams quickly become proactive by optimizing Service Level Objectives (SLOs) that map to the customer journey.</p>
<h3>Pros</h3>
<ul>
<li>Incident Management</li>
<li>Incident Response</li>
<li>CommsFlow</li>
<li>Incident Retrospectives</li>
<li>Reliability Insights</li>
<li>SLO Manager</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
OnPage,Incident Response,Hold,none,"<p><a href=""https://www.onpage.com"">OnPage</a> provides an Incident Alert Management platform that elevates critical notifications to the right person on call to remediate critical events.</p>
<p>With Alert-Until-Read capabilities, dynamic digital schedules, escalation criteria and redundancies, OnPage ensures that critical alerts are never missed.</p>
<h3>Pros</h3>
<ul>
<li>IT Incident Response</li>
<li>On-Call Management</li>
<li>Live Call Routing</li>
<li>Mass notifications</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
PagerTree,Incident Response,Hold,none,"<p><a href=""https://www.pagertree.com"">PagerTree</a> empowers teams to share on-call responsibility and respond faster when incidents occur.</p>
<p>PagerTree streamlines the on-call process by making it easy to schedule rotations, route incoming incidents, and alert the right team members every time.</p>
<h3>Pros</h3>
<ul>
<li>On-Call Schedules</li>
<li>Escalation Layers</li>
<li>Reliable Notifications</li>
<li>Performance Analytics</li>
<li>Powerful Integrations</li>
<li>Mobile Apps</li>
<li>Live Call Routing</li>
<li>Mass notifications</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Cabot,Incident Response,Hold,none,"<p><a href=""https://www.cabotapp.com"">Cabot</a> – Get alerted when services go down or metrics go crazy</p>
<p><a href=""https://github.com/arachnys/cabot"">https://github.com/arachnys/cabot</a></p>
<h3>Pros</h3>
<ul>
<li>Self-hosted</li>
<li>Easily-deployable monitoring and alerts service</li>
<li>Lightweight <a href="""">PagerDuty</a></li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
xMatters,Incident Response,Hold,none,"<p><a href=""https://www.xmatters.com"">xMatters</a> helps DevOps, SREs, and operations teams automate workflows, ensure infrastructure and applications are always working, and rapidly deliver products at scale. Our code-free workflow builder, adaptive approach to incident management, and real-time performance analytics all support a single goal: the happiness of your customers.</p>
<h3>Pros</h3>
<ul>
<li>Protect against service issues</li>
<li>Reduce operational headaches</li>
<li>Deliver exceptional products faster</li>
<li>Workflow automation</li>
<li>Frictionless on-call</li>
<li>Adaptive incident management</li>
<li>Signal intelligence</li>
<li>Actionable analytics</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Derdack Enterprise Alert,Incident Response,Hold,none,
BigPanda,Incident Response,Hold,none,"<p><a href=""https://www.bigpanda.com"">BigPanda</a> transforms IT data into actionable intelligence and automation, enabling incident response teams to increase uptime, efficiency, and velocity.</p>
<p>Built from the ground-up for complex IT environments, BigPanda helps organizations prevent and resolve IT outages through its innovative AIOps event correlation and automation platform.</p>
<h3>Pros</h3>
<ul>
<li>Incident Intelligence</li>
<li>Workflow Automation</li>
<li>Unified Analytics</li>
<li>Integrations</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
OpenDuty,Incident Response,Hold,none,"<p><a href=""https://github.com/ustream/openduty"">OpenDuty</a> is an open source alerting and incident escalation tool patterned after <a href="""">PagerDuty</a></p>
<h3>Pros</h3>
<ul>
<li>XMPP, email, SMS, phone, Push and Slack notifications</li>
</ul>
<h3>Cons</h3>
<ul>
<li>In beta status but can be considered stable</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
ngDesk,Incident Response,Hold,none,"<p><a href=""https://www.ngdesk.com"">ngDesk</a> includes support, sales, asset management, marketing and pager in an all-in-one application that is ready to go and easy to use.</p>
<h3>Pros</h3>
<ul>
<li>Effective Ticket Tracking System</li>
<li>All-In-One CRM</li>
<li>Dashboards that Visually Showcase Data</li>
<li>Manage communication with Prospects</li>
<li>Keeps track of service issues</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Geneos,Incident Response,Hold,none,"<p><a href=""https://www.itrsgroup.com/products/geneos"">Geneos</a> provides full stack visibility across highly dynamic environments</p>
<p>Geneos takes your IT infrastructure stack and instruments all the connections between systems, to give you a complete overview of your IT operations in real time. It also has more than 100 plugins that allow you to swiftly connect to different technologies with a minimum of coding. Run your applications dynamically, from on-demand and elastic server availability in cloud environments to containers, microservices and orchestrators, including Kubernetes and OpenShift. Set up your orchestrated environments on-prem, hybrid cloud or multi-cloud environments using Azure, AWS, Google Cloud Platform and more.</p>
<h3>Pros</h3>
<ul>
<li>Advanced AIOps techniques enabled for anomaly detection and noise reduction</li>
<li>Over 100 plugins and integrations</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
FireHydrant,Incident Response,Hold,none,"<p><a href=""https://firehydrant.com/"">Fire Hydrant</a> seeks to replace siloed knowledge, disparate tools, and homegrown processes with a fully automated, easy-to-use platform that integrates with the tools you already love.</p>
<h3>Pros</h3>
<ul>
<li>Incident Management</li>
<li>Process Automation</li>
<li>Incident Communications</li>
<li>Incident Retrospectives</li>
<li>Incident Analytics</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
SLO exporter,Incident Response,Hold,none,"<p><a href=""https://github.com/seznam/slo-exporter"">SLO exporter</a> computes standardized SLI and SLO metrics based on events coming from various data sources.</p>
<p>slo-exporter computes standardized Service Level Indicator (SLI) and Service Level Objectives (SLO) metrics based on events coming from various data sources. It follows principles from the SRE Workbook. With already prepared examples, Grafana dashboards, Prometheus recording rules and alerts, you can easily start to alert on SLO in your infrastructure.</p>
<h3>Pros</h3>
<ul>
<li></li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
SLO Computer,Incident Response,Hold,none,"<p><a href=""https://github.com/last9/slo-computer"">SLO Computer</a> is building a sandbox for our DevOps and SRE community - SLO computer - a product that makes setting and monitoring SLOs for all your services intuitively seamless and blazingly fast.</p>
<p>“SLOs, Error windows and alerts are complicated. Here’s an attempt to make it easy.”</p>
<h3>Pros</h3>
<ul>
<li></li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Rootly,Incident Response,Hold,none,"<p><a href=""https://rootly.com"">Rootly</a> is an incident management platform and Slackbot designed to help companies resolve incidents faster by automating manual admin tasks and providing insight to prevent them in the future</p>
<h3>Pros</h3>
<ul>
<li>Manage incidents directly from Slack</li>
<li>Say goodbye to manual copy-paste timelines</li>
<li>Encode entire incident process.</li>
<li>Integrate with favorite tools</li>
<li>Reduce context switching</li>
<li>Faster retrospectives</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Grafana OnCall,Incident Response,Hold,none,"<p><a href=""https://grafana.com/oss/oncall/"">Grafana OnCall</a> is an open source, easy-to-use on-call management tool built to help teams improve their collaboration and resolve incidents faster.</p>
<p>Grafana OnCall (formerly known as Amixr) was started in 2018 at Amixr Inc., which Grafana Labs acquired in 2021. Launched on Grafana Cloud in late 2021 and open sourced in 2022 for users needing self-managed and on-premises deployments, Grafana OnCall provides an on-call management solution that is simple to use, accessible to everyone, and allows engineers to actually sleep well at night knowing that only the relevant notifications will reach them. Grafana Labs uses Grafana OnCall to run its own cloud services.</p>
<h3>Pros</h3>
<ul>
<li>On-call management</li>
<li>Detection</li>
<li>Alert grouping and routing</li>
<li>Notification and collaboration</li>
<li>Remediation</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Keep,Incident Response,Hold,none,"<p><a href=""https://github.com/keephq/keep"">Keep</a> a simple CLI tool that contains everything you need to start creating Alerts.</p>
<h3>Pros</h3>
<ul>
<li>Simple and intuitive (GitHub actions-like) syntax.</li>
<li>Declarative alerting that can be easily managed and versioned in your version control and service repository.</li>
<li>Alerts from multiple data sources for added context and insights.</li>
<li>Freedom from vendor lock-in, making it easier to switch to a different observability tool if and when needed.</li>
<li>100% open sourced, free forever</li>
</ul>
<h3>Cons</h3>
<ul>
<li></li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
